Age,Income,LoanAmount,CreditScore,Defaulted
54,56928,26287,696,0
38,59495,14211,747,0
35,62955,15150,681,0
22,36388,20665,614,1
39,47033,16865,653,0
43,44896,22625,778,0
52,50805,17296,686,0
43,69132,10100,687,0
30,75855,17892,685,0
27,108762,5850,795,0
55,45041,15868,781,0
57,94608,14734,810,0
59,64650,13335,692,0
39,68763,13971,714,0
54,86870,2000,624,0
44,41931,10610,773,0
54,79560,15742,641,0
44,74161,16278,710,0
48,82311,6778,645,0
37,77229,25125,670,0
37,131382,8070,658,0
21,54056,22755,669,1
54,56725,18417,673,0
35,54421,9830,672,0
60,56113,29202,741,0
55,54065,5450,644,0
52,99725,22353,711,0
23,105512,23004,760,0
52,55731,9635,674,0
33,49191,26139,664,1
40,81785,12999,688,0
39,56194,17309,758,0
27,85823,17082,709,0
26,75073,13925,673,0
22,32106,21486,724,0
36,108687,21347,644,0
52,114896,2000,734,0
31,54680,25434,720,0
41,60307,2000,684,0
41,77146,23260,658,0
49,78361,24013,655,0
57,86463,6272,726,0
57,120255,11713,761,0
64,65576,6154,668,0
27,50042,13280,722,0
46,35517,12535,595,0
46,51726,21237,670,1
53,69171,25482,698,0
40,114863,26165,654,0
49,57059,10502,653,0
52,75594,13326,666,0
47,69589,2000,714,0
52,99709,8553,690,0
24,133173,22718,588,0
38,56728,27924,593,1
23,57764,5125,669,0
54,96104,10260,722,0
36,87047,14788,562,0
63,116167,17241,675,0
47,84598,8523,673,0
49,61017,18392,769,0
48,84766,11209,680,0
25,97717,14884,719,0
54,90512,19370,707,0
60,82681,15051,593,0
56,96666,11508,738,0
43,99232,14123,710,0
48,104553,14293,725,0
50,86217,12039,850,0
54,65822,12929,595,0
52,73667,27789,786,0
40,100162,19487,685,0
51,49576,12636,714,0
42,79216,20575,697,0
52,60166,12329,678,0
22,70718,24384,671,0
37,101961,17957,716,0
44,74777,14141,624,0
61,71160,18581,737,0
50,36003,2432,679,0
22,88656,5985,643,0
59,86137,5448,677,0
43,124081,16143,762,0
51,62305,28860,673,0
41,75478,32850,717,0
42,76234,20104,663,0
21,109436,19006,737,0
46,67617,2000,734,0
61,76975,10658,792,0
21,85197,8697,691,0
45,74665,10033,733,0
36,58839,13654,704,0
59,74852,11223,764,0
52,96840,2000,664,0
28,44337,20983,737,0
62,73324,6418,690,0
58,52496,16913,696,0
48,99876,31592,704,0
61,31920,7644,712,0
45,56026,2000,694,0
54,79430,12711,710,0
44,109138,23807,778,0
43,68356,30666,749,0
32,56120,5163,743,0
26,117028,18973,677,0
55,33799,11277,655,0
64,20000,14152,747,0
39,81000,36154,743,0
20,57448,2976,773,0
27,44469,17029,669,0
35,87708,18741,688,0
33,76095,23686,618,0
31,55898,15783,680,0
42,37992,17464,749,0
34,91811,11866,676,0
47,86255,17153,732,0
53,67520,12254,690,0
21,116165,19972,716,0
51,43247,12043,642,0
42,31861,18016,704,0
41,52702,14765,550,0
44,68860,24008,690,0
41,76083,14588,618,0
41,63969,2000,760,0
61,78801,25095,738,0
25,38711,7754,723,0
34,106094,9769,776,0
62,67946,10234,652,0
56,97932,25995,787,0
52,78568,2000,746,0
27,81418,40101,688,0
63,84244,23448,756,0
63,81192,16785,644,0
24,86068,14560,658,0
58,103228,17284,669,0
23,74913,19168,673,0
25,87725,20161,647,0
64,67756,19444,761,0
51,106002,15716,687,0
49,53090,13421,717,0
54,115023,13789,671,0
59,68996,13440,608,0
35,34230,24070,713,0
32,73202,19748,604,0
61,52973,2000,696,0
49,91016,20247,631,0
38,53684,16557,799,0
36,58845,14850,745,0
38,22761,11891,705,0
47,58692,23992,763,0
45,20000,22580,657,1
56,30402,8816,727,0
45,89010,18256,709,0
42,89645,7226,713,0
28,80636,3963,763,0
31,45825,9986,736,0
20,68807,21899,714,0
20,69909,22625,617,0
53,41040,19104,651,0
51,107584,20800,693,0
44,91934,19129,704,0
59,64475,9868,643,0
64,70672,18455,820,0
20,75209,21403,775,0
35,20000,21034,730,0
58,63820,24511,703,0
24,52950,20666,689,0
41,44959,17811,652,0
48,62972,23561,703,0
22,114942,14787,712,0
31,86021,7945,637,0
45,55720,13695,716,0
35,84314,9040,692,0
56,104983,9598,604,0
41,93115,13843,656,0
48,71490,8660,679,0
33,53826,12536,794,0
47,87455,2000,727,0
24,79837,16706,633,0
49,92379,15009,724,0
24,85879,8463,622,0
31,96238,20273,754,0
35,56619,22500,676,1
45,102934,2139,695,0
45,74939,8898,766,0
40,121881,8846,635,0
58,52770,7480,630,0
55,113399,21635,670,0
52,74947,13449,751,0
49,53714,12883,624,0
56,57902,2000,558,0
42,61991,20083,677,0
29,80604,5085,727,0
24,83070,15479,760,0
55,55657,17219,676,0
53,69391,25885,679,0
50,123556,4529,757,0
29,113188,2000,606,0
38,80908,16470,680,0
51,70950,29404,709,0
20,73000,24911,722,0
24,85337,16677,674,0
64,44430,11066,701,0
23,63565,21456,575,0
35,28285,7211,667,0
43,79980,18810,722,0
35,86179,19043,650,0
21,57920,23481,702,0
47,109349,37077,722,0
51,39355,18139,682,0
46,33390,10928,708,0
39,75611,14795,651,0
43,96177,2000,689,0
31,112098,9442,730,0
54,58527,11725,707,0
52,96967,10807,670,0
52,69037,16218,711,0
62,65684,8420,735,0
56,92091,23968,597,0
31,86308,15001,757,0
22,30590,14925,683,0
20,106913,12376,721,0
52,104502,16241,759,0
59,54360,21600,631,1
29,79895,8062,664,0
62,82350,9735,685,0
63,76516,12570,660,0
48,56242,4233,786,0
32,53209,8445,657,0
31,69361,11190,672,0
50,99318,21995,710,0
21,83590,17100,639,0
54,60734,16548,680,0
42,89292,21807,715,0
36,20000,13901,683,0
45,98719,18123,695,0
27,26507,14174,673,0
48,60938,17122,624,0
45,42008,10337,716,0
29,37632,2000,787,0
45,99020,13925,700,0
53,58307,26381,711,0
60,78662,22409,734,0
26,68826,22723,636,0
23,81926,24889,785,0
64,71920,15709,710,0
30,37925,16578,781,0
48,94906,10058,663,0
55,57656,12471,790,0
44,31085,19926,738,0
40,59297,24631,727,0
55,107518,13884,711,0
29,91255,11398,687,0
56,61283,15004,760,0
28,61268,19809,707,0
43,61959,3449,601,0
54,121918,2000,644,0
54,79548,10595,690,0
55,80751,5234,715,0
37,95757,10934,697,0
58,75969,13817,760,0
51,63523,11374,602,0
43,65091,26619,707,0
42,68209,17613,609,0
51,69069,17403,737,0
56,88190,19977,695,0
31,71298,5889,720,0
32,88316,23312,656,0
42,67982,14393,763,0
44,71965,20363,752,0
54,20044,6425,729,0
60,92908,2569,693,0
49,78662,21543,728,0
36,94950,18011,664,0
39,20000,7783,742,0
44,122209,8042,782,0
41,66510,24003,753,0
32,97704,5484,663,0
38,44002,28141,718,0
55,85319,7795,635,0
31,43664,20107,728,0
60,54405,12371,722,0
38,117850,19825,606,0
31,65232,10647,641,0
28,75435,13697,685,0
26,91751,15327,684,0
47,82392,6982,639,0
33,73760,20926,719,0
50,79124,10894,712,0
38,130085,13171,690,0
35,68559,7045,662,0
24,75027,2000,752,0
54,96266,13471,782,0
31,97638,34300,675,0
44,99675,21276,669,0
40,85968,14845,724,0
55,41424,12896,682,0
42,110835,15179,693,0
35,41341,19376,736,0
58,77565,5553,604,0
64,51143,23914,765,0
61,68396,20723,703,0
58,78219,20745,679,0
33,78033,18507,695,0
50,80548,15156,698,0
24,110342,20382,613,0
54,81338,19734,774,0
42,63896,12167,702,0
48,94102,10411,722,0
62,99736,15814,747,0
30,39309,27392,648,1
37,84935,5087,723,0
31,87529,3259,686,0
28,62560,16318,742,0
29,104392,15407,593,0
63,66248,16386,695,0
36,73139,16951,669,0
57,65673,13214,721,0
26,70389,26918,723,0
32,42593,2192,664,0
59,33998,8372,664,0
61,109862,14173,694,0
28,48825,2000,655,0
46,45215,13593,742,0
21,20000,28291,681,0
24,54025,15167,554,0
48,36922,16845,681,0
56,111050,4918,648,0
57,95245,10069,618,0
38,52796,11998,638,0
27,126310,12458,705,0
64,94544,25253,766,0
20,61879,19461,715,0
41,20000,6108,669,0
36,127273,16972,722,0
26,35260,18985,677,0
44,28865,24121,665,1
64,95564,27644,642,0
23,130993,6879,612,0
55,104606,8513,680,0
25,84097,4939,707,0
50,84868,13127,695,0
38,91335,18730,679,0
63,88973,22898,652,0
58,77029,14392,730,0
46,72605,12441,634,0
29,68435,16214,738,0
45,51150,8318,649,0
38,62983,31716,662,0
58,27676,2138,626,0
22,67541,16477,674,0
64,45285,31188,748,0
32,42410,15054,725,0
47,74497,13479,748,0
39,104800,12140,726,0
47,92957,13556,644,0
27,30737,25982,683,0
60,45259,2000,660,0
58,93519,27267,766,0
20,45437,3608,640,0
22,64384,12866,744,0
32,83751,11566,744,0
47,45791,19708,791,0
44,72634,2215,679,0
52,36649,18697,735,0
57,54965,31194,814,0
25,77994,4094,669,0
63,30175,16517,623,0
64,81011,9704,605,0
51,69509,18407,735,0
64,83812,15153,605,0
40,75597,9868,681,0
35,104103,18902,721,0
40,73130,29434,709,0
30,59264,13472,721,0
56,73057,20758,711,0
55,83582,4653,763,0
54,71221,7348,652,0
38,71014,18779,666,0
39,52450,26872,661,1
37,53427,17844,741,0
60,34934,12495,745,0
33,113739,14994,722,0
34,38903,4996,759,0
50,52677,19836,641,0
20,52039,22058,783,0
22,92373,11383,776,0
35,62626,11239,736,0
42,101193,17127,789,0
30,53162,11506,617,0
31,76974,14470,673,0
29,49116,31797,663,1
51,123628,13023,736,0
35,40310,12133,647,0
27,77745,9819,737,0
57,85844,20953,768,0
31,80344,13550,734,0
43,65367,9805,714,0
47,66754,25570,650,0
27,71095,26356,657,0
47,66324,10196,762,0
55,94096,2000,738,0
45,125263,23060,698,0
27,56062,9522,679,0
47,35754,21325,598,1
47,67792,2000,646,0
56,134492,22140,795,0
60,49908,5310,635,0
55,110977,20846,709,0
46,111942,15114,750,0
36,56160,7368,637,0
28,84224,11743,709,0
52,110709,20490,746,0
39,60521,15847,700,0
32,64910,19675,843,0
47,55457,30811,616,1
48,44631,2486,752,0
32,53768,27937,691,0
54,39401,15834,738,0
25,70852,7809,722,0
37,50750,4357,663,0
24,75844,13487,711,0
44,31102,22373,607,1
21,78272,13979,730,0
29,90838,27089,714,0
49,20156,3390,731,0
64,79351,14903,752,0
24,100691,4980,718,0
52,39758,17909,707,0
20,111814,22095,655,0
37,80475,11633,664,0
51,52374,2000,759,0
30,68605,16591,771,0
40,83958,18493,688,0
45,71900,18234,702,0
44,83468,24886,654,0
41,46983,6431,758,0
46,74234,20441,733,0
32,34657,24540,797,0
52,67219,2000,656,0
53,47402,17557,681,0
60,51611,10966,711,0
54,100902,14347,732,0
20,97282,17781,689,0
40,85228,11102,656,0
25,42692,9594,744,0
47,62089,15273,736,0
36,100327,6302,654,0
24,73542,6313,767,0
50,127983,20434,758,0
24,79832,5809,706,0
57,74801,20330,703,0
22,62272,18700,727,0
42,73338,2000,656,0
56,66188,9579,701,0
56,87702,24552,592,0
29,93917,7150,743,0
29,50350,11284,621,0
38,36719,18696,775,0
36,24094,21267,683,0
40,82699,12987,689,0
33,42415,10219,668,0
28,20000,26378,685,0
20,79714,28911,770,0
64,132324,22830,575,0
32,69848,15682,763,0
23,90962,8533,716,0
20,72045,8356,639,0
59,67527,19180,646,0
51,92976,18347,783,0
53,62743,26212,652,0
47,76684,20203,642,0
50,78042,2975,756,0
27,53297,23415,716,0
58,94801,7015,653,0
45,65626,11928,710,0
53,51106,17001,648,0
22,83412,30965,755,0
31,47538,39879,753,0
20,70704,19853,726,0
63,69772,13534,718,0
24,97147,19276,788,0
49,81867,22101,699,0
49,69374,12434,640,0
36,90444,29361,722,0
42,104755,16840,804,0
34,83945,18981,649,0
56,70258,20327,681,0
40,37204,18372,720,0
33,43372,21711,697,0
21,62369,10061,650,0
30,54762,10533,756,0
58,65325,6198,816,0
57,71416,18516,709,0
53,83242,21231,654,0
57,68237,18662,622,0
53,82162,28395,712,0
37,71611,14955,755,0
49,20613,20349,723,0
34,46516,6266,699,0
46,66397,11903,670,0
53,39757,20564,645,1
57,84998,21792,741,0
52,108268,12648,745,0
43,100469,14427,622,0
34,64663,2857,779,0
49,107268,12143,728,0
61,73716,22123,769,0
36,61572,19601,632,0
24,54664,19005,631,0
48,62438,15398,692,0
23,60295,15056,725,0
29,74260,9717,789,0
36,74014,20590,735,0
29,70076,18367,687,0
36,80923,18936,648,0
39,99766,10791,761,0
43,93738,2000,651,0
24,32877,23777,781,0
53,20000,11169,685,0
25,93357,8097,779,0
21,35828,20547,733,0
32,64380,11863,693,0
62,40747,23479,674,1
62,24950,19936,682,0
30,83536,20468,721,0
42,88978,4072,703,0
35,55587,24695,670,1
50,20000,17090,691,0
30,56343,12045,703,0
35,79795,16147,593,0
27,33027,2000,722,0
23,74583,18269,651,0
59,69617,6765,642,0
23,84482,4178,615,0
44,72989,2821,610,0
22,45673,23901,632,1
51,99914,9965,664,0
22,66036,27269,797,0
46,69317,10713,673,0
48,46668,2000,708,0
51,58917,6067,720,0
38,47879,24886,706,0
40,65676,13752,696,0
24,112792,10613,640,0
37,35702,16280,772,0
47,29660,19014,790,0
61,106779,23939,615,0
41,64766,26587,648,0
40,53273,12121,686,0
25,95997,4391,651,0
20,54859,11692,725,0
24,115650,17082,663,0
60,86948,7289,808,0
31,57802,7342,759,0
45,123932,17750,710,0
53,54857,14610,751,0
33,88552,15262,755,0
45,77482,8932,671,0
64,102543,13156,659,0
46,109037,7606,703,0
28,70800,22121,743,0
45,51164,23281,706,0
41,81499,2000,621,0
49,53057,7563,659,0
62,120334,3027,696,0
36,73413,9799,696,0
45,60866,14332,798,0
55,74617,3402,630,0
20,36321,7625,725,0
27,45709,6968,774,0
54,100010,16658,813,0
34,53577,15554,679,0
41,43827,9226,724,0
33,83416,16414,728,0
45,99642,10626,709,0
47,87973,12826,695,0
42,94901,28387,721,0
33,51080,25723,573,1
43,34454,4603,734,0
21,107533,21637,706,0
64,61933,21491,688,0
45,63729,5813,802,0
33,103204,21550,666,0
26,83905,27303,679,0
22,81397,6019,799,0
42,124125,7659,658,0
62,53912,23141,672,1
64,93196,17171,692,0
37,71425,19411,742,0
57,76714,17724,710,0
54,108211,18125,635,0
34,82695,4388,673,0
44,83457,23378,669,0
56,96812,24356,696,0
47,60876,13164,721,0
29,49019,14652,720,0
58,43879,2751,611,0
36,20841,19114,753,0
58,121405,19576,712,0
41,42419,14502,769,0
45,64468,23994,722,0
63,63079,12327,755,0
44,77685,19516,723,0
36,90393,6842,767,0
32,91511,14811,726,0
39,55423,13605,695,0
44,65821,16802,813,0
23,77064,12043,744,0
29,63782,13948,728,0
22,110183,21608,636,0
60,82274,11505,635,0
64,88371,2147,714,0
37,86572,28996,707,0
55,99336,26051,669,0
41,74525,4661,707,0
53,37579,20517,779,0
27,79992,10976,734,0
59,53716,17107,642,0
63,56784,17353,694,0
38,84659,13124,659,0
61,100957,8729,680,0
60,70531,9475,679,0
56,77720,7670,676,0
25,112555,8345,637,0
45,76018,14462,693,0
53,135042,9273,671,0
64,84137,20456,553,0
25,25980,26897,802,0
56,88833,10359,754,0
52,79528,16915,681,0
41,102243,18997,700,0
40,86829,18776,641,0
25,66538,15607,784,0
25,39392,20941,794,0
23,64774,18857,707,0
49,48736,5098,751,0
30,55486,21953,708,0
49,84714,22098,633,0
50,111747,8893,679,0
43,79866,15303,706,0
28,40102,20466,677,1
22,81115,13325,689,0
50,99915,23583,695,0
59,54755,33910,695,0
56,66649,8712,702,0
55,70367,3951,646,0
43,50377,17430,664,0
50,86207,20772,635,0
25,66976,13153,748,0
21,80488,26626,594,0
39,47812,4291,757,0
47,59063,20543,769,0
30,88059,10153,684,0
23,60679,28755,569,0
34,113174,30940,681,0
25,60009,8866,696,0
49,75617,10603,649,0
57,93314,21876,674,0
21,34540,11902,776,0
34,25979,14636,733,0
30,31858,15203,653,0
27,101564,2000,620,0
45,56203,14889,683,0
64,133954,9482,689,0
63,55893,11055,724,0
24,74613,26549,673,0
25,108552,4947,725,0
45,120152,21505,796,0
23,121537,12768,740,0
38,100209,12761,697,0
39,95601,21322,690,0
52,84813,17720,682,0
39,89459,19564,759,0
31,56220,22745,668,1
20,49545,12349,702,0
45,69915,10102,702,0
33,65745,6318,674,0
57,58669,8396,631,0
56,87409,38592,716,0
30,93882,24957,696,0
55,72210,4191,725,0
32,106938,4420,673,0
62,41457,18854,761,0
22,65158,19378,656,0
52,52079,19391,785,0
25,23336,12960,612,0
29,67932,13996,721,0
24,66956,17623,723,0
42,107836,15687,660,0
29,85770,2000,721,0
63,44395,13161,763,0
21,116352,8188,589,0
32,100525,16401,725,0
59,84552,38882,575,0
21,64337,17939,651,0
39,46014,12491,781,0
20,60694,22374,670,0
56,97218,18861,641,0
28,117114,18360,690,0
36,108581,19854,803,0
28,57778,31452,608,1
30,42009,5952,647,0
34,73522,18789,774,0
43,25789,7588,792,0
57,78079,19444,694,0
54,66309,7650,638,0
49,58349,11661,804,0
50,30132,12639,779,0
24,82840,22806,733,0
63,56682,22347,659,1
33,40752,5034,697,0
30,20000,15439,691,0
28,69312,9323,716,0
53,114306,4931,772,0
31,111531,13263,743,0
54,58572,12532,646,0
54,54944,34413,768,0
20,81719,18463,715,0
59,45040,3979,734,0
41,77544,10481,773,0
48,89152,23171,644,0
27,100673,31707,698,0
30,67496,2312,673,0
60,64908,2000,621,0
56,48050,29967,717,0
33,49327,18116,825,0
49,64338,8053,607,0
54,79184,19277,698,0
40,92839,2000,732,0
56,49920,15027,706,0
24,107317,17622,694,0
38,63221,22394,635,0
